site_id,facility_name,cupa,physical_address,total_evals,total_violations,latest_eval,years_since,seismic,has_ammonia,is_food,is_refinery,is_p3,is_p2,iiar9_gap,revalid_overdue,revalid_soon,reval_due_year,pre_epa2024,urgency_score,notes,recommended_pitch,pain_points
419145,ALBERTSONS DISTRIBUTION CENTER #6759,Orange County Environmental Health,VERIFY via CERS SiteID or EPA ECHO,16,2,2025-05-29,0.8,Medium,True,True,False,True,False,True,False,False,2030,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record | Program 3 confirmed: STAA + enhanced third-party audits mandatory
422395,"SHINE FOOD, INC (TORRANCE, CA)",Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,4,1,2025-06-09,0.7,High,False,False,False,False,False,True,False,False,2030,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
422764,FRESH GRILL FOODS LLC,Orange County Environmental Health,VERIFY via CERS SiteID or EPA ECHO,24,4,2022-09-16,3.5,Medium,True,True,False,False,False,True,False,False,2027,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 4 violations on record
427174,"HV Randall Foods, LLC",Vernon Health & Environmental Control Department,VERIFY via CERS SiteID or EPA ECHO,11,5,2024-09-11,1.5,Low,True,False,False,False,False,True,False,False,2029,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 5 violations on record
446309,Walmart Distribution Center #8852,Kern County Env Health Services Department,VERIFY via CERS SiteID or EPA ECHO,6,1,2024-07-03,1.7,Medium,False,False,False,True,False,True,False,False,2029,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 1 violations on record | Program 3 confirmed: STAA + enhanced third-party audits mandatory
514085,Americold Logistics,San Bernardino County Fire Department,VERIFY via CERS SiteID or EPA ECHO,6,4,2024-09-24,1.4,Medium,False,False,False,False,False,True,False,False,2029,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 4 violations on record
521829,Baldwin Park Water Treatment Plant #2,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,6,2,2022-09-28,3.4,High,False,False,False,False,False,True,False,False,2027,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
524316,California Ice Company (San Diego Ice Company),Riverside County Department of Env Health,VERIFY via CERS SiteID or EPA ECHO,6,5,2022-12-07,3.2,Medium,False,False,False,False,False,True,False,False,2027,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 5 violations on record
561165,Seal Beach Gas Processing Joint Venture,Orange County Environmental Health,VERIFY via CERS SiteID or EPA ECHO,10,5,2023-06-06,2.7,Medium,False,True,True,False,False,True,False,False,2028,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 5 violations on record
561673,"JFC International, Inc.",Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,6,2,2024-12-05,1.2,High,False,True,False,False,False,True,False,False,2029,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
570225,"True Fresh HPP LLC/ DBA, HPP Food Services",Orange County Environmental Health,VERIFY via CERS SiteID or EPA ECHO,4,2,2024-08-27,1.5,Medium,True,True,False,True,False,True,False,False,2029,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record | Program 3 confirmed: STAA + enhanced third-party audits mandatory
611356,"Reyes Coca-Cola Bottling, LLC",Los Angeles City Fire Department,VERIFY via CERS SiteID or EPA ECHO,9,3,2024-12-04,1.2,High,True,False,False,False,False,True,False,False,2029,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 3 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
616478,"Reyes Coca-Cola Bottling, LLC",Los Angeles City Fire Department,VERIFY via CERS SiteID or EPA ECHO,5,2,2024-12-18,1.2,High,False,False,False,False,False,True,False,False,2029,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
619120,Amazon com Services LLC SAX5,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,4,1,2015-11-20,10.3,High,False,False,False,False,False,False,True,False,2020,False,7,[],RMP 5-Year Revalidation,RMP Revalidation OVERDUE: Last eval 2015-11-20 (10.3 yrs ago) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
700038,GE CORE COMPANY,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,6,1,2015-08-14,10.6,High,False,False,False,False,False,False,True,False,2020,False,7,[],RMP 5-Year Revalidation,RMP Revalidation OVERDUE: Last eval 2015-08-14 (10.6 yrs ago) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
776761,Quinn Rental service,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,5,1,2018-01-24,8.1,High,False,False,False,False,False,False,True,False,2023,False,7,[],RMP 5-Year Revalidation,RMP Revalidation OVERDUE: Last eval 2018-01-24 (8.1 yrs ago) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
947937,SPF Logistics INC,Los Angeles City Fire Department,VERIFY via CERS SiteID or EPA ECHO,4,1,2025-05-01,0.8,High,False,False,False,False,False,True,False,False,2030,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
3602,"AIR INDUSTRIES COMPANY, APCC COMPANY",Orange County Environmental Health,VERIFY via CERS SiteID or EPA ECHO,9,2,2024-08-23,1.5,Medium,False,False,False,False,False,True,False,False,2029,False,6,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record
5500,AMERICOLD LOGISTICS LLC,Anaheim City Fire Department,VERIFY via CERS SiteID or EPA ECHO,4,2,2024-07-22,1.6,Low,False,False,False,False,False,True,False,False,2029,False,6,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record
